,precision,recall,f1-score,support
CNV,0.9877551020408163,1.0,0.9938398357289527,242.0
DME,1.0,0.9958677685950413,0.9979296066252588,242.0
DRUSEN,1.0,0.9917355371900827,0.995850622406639,242.0
NORMAL,1.0,1.0,1.0,242.0
accuracy,0.996900826446281,0.996900826446281,0.996900826446281,0.996900826446281
macro avg,0.996938775510204,0.9969008264462811,0.9969050161902127,968.0
weighted avg,0.996938775510204,0.996900826446281,0.9969050161902125,968.0
